,Candidate,Elected,Party,Votes,Ward
427,Tracey LITTLE,1,SNP,659.0,Lochar
428,Joe MCGURK,0,SNP,416.0,Lochar
429,Arthur David RAMSAY,0,Grn,120.0,Lochar
430,Keith WALTERS,0,Lab,158.0,Lochar
431,Jim DEMPSTER,1,Lab,1055.0,Mid and Upper Nithsdale
432,Matthew RONNIE,1,Con,1211.0,Mid and Upper Nithsdale
433,John SYME,0,Lab,724.0,Mid and Upper Nithsdale
434,Graham WATSON,0,Ind,466.0,Mid and Upper Nithsdale
435,Andrew Stuart WOOD,1,SNP,872.0,Mid and Upper Nithsdale
436,Barbara Anne BANNATYNE,0,Grn,116.0,Mid Galloway and Wigtown West
437,Matthew CURRY,0,Lab,368.0,Mid Galloway and Wigtown West
438,Katie HAGMANN,1,SNP,701.0,Mid Galloway and Wigtown West
439,David INGLIS,1,Con,1403.0,Mid Galloway and Wigtown West
440,Jim MCCOLM,1,Ind,976.0,Mid Galloway and Wigtown West
441,John MCCUTCHEON,0,Ind,48.0,Mid Galloway and Wigtown West
442,Graham NICOL,1,Con,723.0,Mid Galloway and Wigtown West
443,Steve NORRIS,0,SNP,572.0,Mid Galloway and Wigtown West
444,Richard OXLEY,0,Ind,475.0,Mid Galloway and Wigtown West
445,John CAMPBELL,1,SNP,858.0,Nith
446,Niall COWAN,0,Ind,196.0,Nith
447,Andrew CROSBIE,0,Ind,153.0,Nith
448,John DENNIS,0,Ind,126.0,Nith
449,Malcolm JOHNSTONE,1,Con,1481.0,Nith
450,John MARTIN,1,Lab,424.0,Nith
451,Elaine MURRAY,1,Lab,961.0,Nith
452,Sandy ROGERSON,0,Grn,121.0,Nith
453,David Robert SLATER,0,Ind,297.0,Nith
454,Alastair WITTS,0,SNP,438.0,Nith
455,Graham BELL,1,Con,1374.0,North West Dumfries
456,Stacy BRADLEY,0,SNP,574.0,North West Dumfries
457,Billy FARRIES,0,Ind,163.0,North West Dumfries
458,Andy FERGUSON,1,SNP,693.0,North West Dumfries
459,Michelle Anne JOHNSTON,0,Grn,128.0,North West Dumfries
460,David MCKIE,1,Lab,611.0,North West Dumfries
461,Ronnie NICHOLSON,1,Lab,679.0,North West Dumfries
462,Chris COLLINGS,0,SLP,95.0,Stranraer and the Rhins
463,Tracy DAVIDSON,0,Ind,181.0,Stranraer and the Rhins
464,Andrew GIUSTI,1,Con,1703.0,Stranraer and the Rhins
465,Robert MCCRAE,0,Ind,123.0,Stranraer and the Rhins
466,Marion MCCUTCHEON,0,Ind,166.0,Stranraer and the Rhins
467,Willie SCOBIE,1,Ind,1925.0,Stranraer and the Rhins
468,Tommy SLOAN,1,Lab,312.0,Stranraer and the Rhins
469,Ros SURTEES,1,SNP,765.0,Stranraer and the Rhins
470,Mohammed ASIF,0,Ind,481.0,Coldside
471,Mark FLYNN,1,SNP,1560.0,Coldside
472,Kristopher James HALL,0,SLD,101.0,Coldside
473,Conor Andrew MARSHALL,0,Grn,232.0,Coldside
474,Christopher John MCINTYRE,0,SLD,57.0,Coldside
475,George MCIRVINE,1,Lab,933.0,Coldside
476,Anne RENDALL,1,SNP,925.0,Coldside
477,Wayne Frank SCOTT,0,TUSC,82.0,Coldside
478,Duncan SHAW,0,Con,618.0,Coldside
479,Helen WRIGHT,1,Lab,633.0,Coldside
480,Will DAWSON,1,SNP,1553.0,East End
481,Ryan FINNEGAN,0,SLD,110.0,East End
482,Darryl GUTHRIE,0,Ind,205.0,East End
483,Darren KANE,0,Con,571.0,East End
484,Ian MCKAY,0,TUSC,54.0,East End
485,Caitlin Elizabeth MELDRUM,0,Grn,113.0,East End
486,William MORREN,0,UKIP,56.0,East End
487,Margaret Mary RICHARDSON,1,Lab,965.0,East End
488,Christina ROBERTS,1,SNP,811.0,East End
489,Tom FERGUSON,0,Ind,565.0,Lochee
490,Leah GANLEY,0,TUSC,102.0,Lochee
491,Lynn HUTCHISON,0,SLD,91.0,Lochee
492,Charlie MALONE,1,Lab,924.0,Lochee
493,Michael MARRA,1,Lab,778.0,Lochee
494,Gordon William MATHESON,0,Grn,132.0,Lochee
495,Mason MCILREAVY,0,Con,700.0,Lochee
496,Kirsty Anne MCKENZIE,0,SLD,31.0,Lochee
497,Alan ROSS,1,SNP,1661.0,Lochee
498,Roisin SMITH,1,SNP,818.0,Lochee
499,Jenny Marion Margaret BLAIN,0,SLD,168.0,Maryfield
500,James CLANCY,0,Con,722.0,Maryfield
501,Georgia CRUICKSHANK,1,Lab,885.0,Maryfield
502,Stuart FAIRWEATHER,0,TUSC,250.0,Maryfield
503,Ken LYNN,1,SNP,1240.0,Maryfield
504,Robbie MCKAIG,0,SLD,48.0,Maryfield
505,Lynne SHORT,1,SNP,782.0,Maryfield
506,Alan BEDDOWS,0,Ind,223.0,North East
507,Brian GORDON,1,Lab,1033.0,North East
508,Curtis LARGE,0,Con,350.0,North East
509,Tracy MULHOLLAND,0,SLD,50.0,North East
510,Gregor MURRAY,1,SNP,1256.0,North East
511,Alison Catherine ORR,0,Grn,62.0,North East
512,Willie SAWERS,1,SNP,800.0,North East
513,Michael TAYLOR,0,TUSC,52.0,North East
514,John ALEXANDER,1,SNP,1956.0,Strathmartine
515,Ian BORTHWICK,1,Ind,825.0,Strathmartine
516,Daniel COLEMAN,0,SLD,828.0,Strathmartine
517,Sinead Michelle DALY,0,TUSC,105.0,Strathmartine
518,Stewart HUNTER,1,SNP,680.0,Strathmartine
519,Kevin KEENAN,1,Lab,1155.0,Strathmartine
520,Robert LINDSAY,0,Con,546.0,Strathmartine
521,Pol Stanley CLEMENTSMITH,0,Grn,232.0,The Ferry
522,Kevin Malcolm CORDELL,1,SNP,1608.0,The Ferry
523,Craig DUNCAN,1,SLD,1422.0,The Ferry
524,Paul JOHNSON,0,TUSC,43.0,The Ferry
525,Angela LYALL,0,Lab,1054.0,The Ferry
526,Vari MCDONALD,0,SNP,1075.0,The Ferry
527,DEREK SCOTT,1,Con,2859.0,The Ferry
528,PHILIP SCOTT,1,Con,635.0,The Ferry
529,Calum David Alexander WALKER,0,UKIP,47.0,The Ferry
530,Bradley BOOTH,0,Ind,65.0,West End
531,Bill CAMPBELL,1,SNP,1090.0,West End
532,Donald HAY,1,Con,643.0,West End
533,Fraser MACPHERSON,1,SLD,2105.0,West End
534,Andrew MCBRIDE,0,IndN,67.0,West End
535,Richard Blake MCCREADY,1,Lab,637.0,West End
536,Morgan PETRIE,0,Grn,331.0,West End
537,Steven ROME,0,SNP,474.0,West End
538,Tam WILSON,0,SSP,59.0,West End
539,Jen BROADHURST,0,Grn,274.0,Annick
540,Ellen FREEL,1,Ind,775.0,Annick
541,Gordon JENKINS,1,SNP,1076.0,Annick
542,Eoghann MACCOLL,0,SNP,925.0,Annick
543,John MCFADZEAN,1,Con,2277.0,Annick
544,John MCGHEE,1,Lab,837.0,Annick
545,Amrik SINGH,0,SLP,7.0,Annick
546,Gordon WALKER,0,Ind,20.0,Annick
547,Claire LEITCH,1,SNP,971.0,Ballochmyle
548,Neil MCGHEE,1,Lab,873.0,Ballochmyle
549,Neil MURRAY,0,Lab,483.0,Ballochmyle
550,Jim ROBERTS,1,SNP,788.0,Ballochmyle
551,Sheraz SHAFIQ,0,SLP,15.0,Ballochmyle
552,David SHAW,0,Ind,621.0,Ballochmyle
553,Alyson SIMMONS,1,Con,944.0,Ballochmyle
554,Gordon BIRCHAM,0,SLP,27.0,Cumnock and New Cumnock
555,Peter BLACK,0,Grn,127.0,Cumnock and New Cumnock
556,Billy CRAWFORD,1,Lab,1279.0,Cumnock and New Cumnock
557,Jim MCMAHON,1,SNP,641.0,Cumnock and New Cumnock
558,Carol Ann MOCHAN,0,Lab,295.0,Cumnock and New Cumnock
559,Jessie OWENS,0,Ind,371.0,Cumnock and New Cumnock
560,Jacqui TODD,1,SNP,731.0,Cumnock and New Cumnock
561,Walter YOUNG,1,Con,991.0,Cumnock and New Cumnock
562,John BELL,1,SNP,583.0,Doon Valley
563,Elaine DINWOODIE,1,Lab,801.0,Doon Valley
564,Anne FAIRLIE,0,SNP,375.0,Doon Valley
565,Drew FILSON,1,Ind,590.0,Doon Valley
566,Alison HARPER,0,Con,698.0,Doon Valley
567,Mark MITCHELL,0,SLP,4.0,Doon Valley
568,Craig MURRAY,0,Grn,53.0,Doon Valley
569,Elaine STEWART,0,Lab,496.0,Doon Valley
570,John YOUNG,0,Ind,207.0,Doon Valley
571,Stevie BRANNAGAN,0,SLP,14.0,Irvine Valley
572,Sally COGLEY,1,Rub,784.0,Irvine Valley
573,David R GARTLAND,0,Ind,16.0,Irvine Valley
574,Ian KING,0,Ind,438.0,Irvine Valley
575,George MAIR,1,Lab,775.0,Irvine Valley
576,Susan MCFADZEAN,0,Con,920.0,Irvine Valley
577,Elena WHITHAM,1,SNP,1128.0,Irvine Valley
578,Margaret YOUNG,0,SNP,551.0,Irvine Valley
579,FIONA CAMPBELL,1,SNP,1459.0,Kilmarnock East and Hurlford
580,JOHN CAMPBELL,1,SNP,827.0,Kilmarnock East and Hurlford
581,Barry DOUGLAS,1,Lab,856.0,Kilmarnock East and Hurlford
582,Jon HERD,1,Con,1094.0,Kilmarnock East and Hurlford
583,Stephen MCNAMARA,0,SLP,40.0,Kilmarnock East and Hurlford
584,Dave MEECHAN,0,Lab,479.0,Kilmarnock East and Hurlford
585,Raymond PATTISON,0,Ind,309.0,Kilmarnock East and Hurlford
586,Helen COFFEY,1,SNP,1381.0,Kilmarnock North
587,Elaine COWAN,0,SNP,481.0,Kilmarnock North
588,Ian GRANT,1,Con,971.0,Kilmarnock North
589,Maureen MCKAY,1,Lab,865.0,Kilmarnock North
590,Lisa MURRAY,0,SLP,41.0,Kilmarnock North
591,John KNAPP,1,Lab,1073.0,Kilmarnock South
592,Clare MAITLAND,1,SNP,593.0,Kilmarnock South
593,Billy MCCLURE,0,Con,382.0,Kilmarnock South
594,Caitlin O'BRIEN,0,SLP,24.0,Kilmarnock South
595,Jim TODD,1,SNP,1190.0,Kilmarnock South
596,Elizabeth Anne BROWN,0,Grn,220.0,Kilmarnock West and Crosshouse
597,Tom COOK,1,Con,1789.0,Kilmarnock West and Crosshouse
598,Stef JOHNSTONE,0,SLP,45.0,Kilmarnock West and Crosshouse
599,Lillian JONES,1,Lab,1344.0,Kilmarnock West and Crosshouse
600,Iain LINTON,1,SNP,1171.0,Kilmarnock West and Crosshouse
601,Douglas REID,1,SNP,1152.0,Kilmarnock West and Crosshouse
602,Erin CRAWLEY,0,Grn,315.0,Bearsden North
603,Duncan CUMMING,1,Ind,2338.0,Bearsden North
604,Eunis JASSEMI-ZARGANI,0,Lab,379.0,Bearsden North
605,Ian MACKAY,0,SNP,1277.0,Bearsden North
606,Sheila MECHAN,1,Con,1462.0,Bearsden North
607,Rosie O'NEIL,1,SLD,1264.0,Bearsden North
608,Scott FERGUSON,0,Grn,580.0,Bearsden South
609,Denis JOHNSTON,1,SNP,1205.0,Bearsden South
610,Vaughan MOODY,1,SLD,1437.0,Bearsden South
611,Alan OLIVER,0,Ind,877.0,Bearsden South
612,Andrew POLSON,1,Con,1859.0,Bearsden South
613,Manjinder SHERGILL,0,Lab,690.0,Bearsden South
614,Christopher Paul COTTON,0,Grn,318.0,Bishopbriggs North and Campsie
615,Paul FERRETTI,1,SNP,1829.0,Bishopbriggs North and Campsie
616,Mohrag FISCHER,1,SNP,1202.0,Bishopbriggs North and Campsie
617,Billy HENDRY,1,Con,2541.0,Bishopbriggs North and Campsie
618,Gary PEWS,1,SLD,957.0,Bishopbriggs North and Campsie
619,Brian REID,0,Ind,357.0,Bishopbriggs North and Campsie
620,Gemma WELSH,0,Lab,1191.0,Bishopbriggs North and Campsie
621,Connor BOYD,0,Grn,272.0,Bishopbriggs South
622,Alan BROWN,1,Con,1631.0,Bishopbriggs South
623,Ian James ELRICK,0,Lab,898.0,Bishopbriggs South
624,Gordan LOW,1,SNP,1467.0,Bishopbriggs South
625,Irene MACKAY,0,SNP,839.0,Bishopbriggs South
626,Alan MOIR,1,Lab,992.0,Bishopbriggs South
627,John JAMIESON,1,SNP,1115.0,Kirkintilloch East and North and Twechar
628,Alison LOTHIAN,0,Con,741.0,Kirkintilloch East and North and Twechar
629,Stewart MACDONALD,1,Lab,1089.0,Kirkintilloch East and North and Twechar
630,Pamela MARSHALL,0,SNP,805.0,Kirkintilloch East and North and Twechar
631,Susan MURRAY,1,SLD,915.0,Kirkintilloch East and North and Twechar
632,Willie PATERSON,0,Ind,851.0,Kirkintilloch East and North and Twechar
633,Emma SHEPPARD,0,Grn,116.0,Kirkintilloch East and North and Twechar
634,Rod ACKLAND,1,SLD,805.0,Lenzie and Kirkintilloch South
635,Rhondda GEEKIE,0,Lab,728.0,Lenzie and Kirkintilloch South
636,Gillian RENWICK,1,SNP,1499.0,Lenzie and Kirkintilloch South
637,Martin ROBERTSON,0,SNP,505.0,Lenzie and Kirkintilloch South
638,Carolynn SCRIMGEOUR,0,Grn,259.0,Lenzie and Kirkintilloch South
639,Alisdair SINCLAIR,0,Ind,415.0,Lenzie and Kirkintilloch South
640,Sandy TAYLOR,0,Ind,811.0,Lenzie and Kirkintilloch South
641,Sandra THORNTON,1,Con,1634.0,Lenzie and Kirkintilloch South
642,Jim GIBBONS,1,SNP,1375.0,Milngavie
643,Jim GOODALL,1,SLD,1698.0,Milngavie
644,Maureen HENRY,0,Lab,571.0,Milngavie
645,Gordon Hugh MacLeod MASTERTON,0,Grn,327.0,Milngavie
646,Graeme MCGINNIGLE,1,Con,1701.0,Milngavie
647,Kate WADDELL,0,SNP,472.0,Milngavie
648,Sarah BEATTIE-SMITH,0,Grn,540.0,Dunbar and East Linton
649,Norman HAMPSHIRE,1,Lab,1633.0,Dunbar and East Linton
650,Sue KEMPSON,1,Con,1834.0,Dunbar and East Linton
651,Isobel KNOX,0,SNP,811.0,Dunbar and East Linton
652,Paul MCLENNAN,1,SNP,1047.0,Dunbar and East Linton
653,Elisabeth Mary WILSON,0,SLD,276.0,Dunbar and East Linton
654,Shamin AKHTAR,1,Lab,1169.0,Haddington and Lammermuir
655,Ruth CURRIE,0,SNP,889.0,Haddington and Lammermuir
656,John MCMILLAN,1,Lab,1458.0,Haddington and Lammermuir
657,Kelvin Logan PATE,0,SLD,568.0,Haddington and Lammermuir
658,Brian SMALL,1,Con,2262.0,Haddington and Lammermuir
659,Cris THACKER,0,Grn,302.0,Haddington and Lammermuir
660,Tom TROTTER,1,SNP,1142.0,Haddington and Lammermuir
661,John Murray CALDWELL,0,Ind,804.0,Musselburgh
662,Stuart McDonald CURRIE,1,SNP,1683.0,Musselburgh
663,Andy FORREST,1,Lab,1178.0,Musselburgh
664,Claire Frances GRAHAM,0,SLD,470.0,Musselburgh
665,Katie MACKIE,1,Con,1472.0,Musselburgh
666,Jason ROSE,0,Grn,497.0,Musselburgh
667,Katherine SANGSTER,0,Lab,568.0,Musselburgh
668,Theresa SIVES,0,Ind,96.0,Musselburgh
669,John Charles WILLIAMSON,1,SNP,840.0,Musselburgh
670,Jeremy FINDLAY,1,Con,1703.0,North Berwick Coastal
671,Laura Lowe FORREST,0,SNP,1127.0,North Berwick Coastal
672,Jim GOODFELLOW,1,Lab,1488.0,North Berwick Coastal
673,Jane HENDERSON,1,Con,1341.0,North Berwick Coastal
674,Robert James O'RIORDAN,0,SLD,318.0,North Berwick Coastal
675,Eurig SCANDRETT,0,Grn,293.0,North Berwick Coastal
676,Lachlan BRUCE,1,Con,1784.0,Preston Seton and Gosford
677,Ghill Duncan DONALD,0,SLD,180.0,Preston Seton and Gosford
678,Neil George GILBERT,1,SNP,1197.0,Preston Seton and Gosford
679,Willie INNES,1,Lab,1801.0,Preston Seton and Gosford
680,Fiona O'DONNELL,1,Lab,932.0,Preston Seton and Gosford
681,Lesley Anne ORR,0,Grn,230.0,Preston Seton and Gosford
682,Brian WEDDELL,0,Lab,429.0,Preston Seton and Gosford
683,Janis WILSON,0,SNP,844.0,Preston Seton and Gosford
684,Fiona DUGDALE,1,Lab,1272.0,Tranent Wallyford and Macmerry
685,Jim GILLIES,0,Lab,837.0,Tranent Wallyford and Macmerry
686,Alexander John GRAHAM,0,SLD,159.0,Tranent Wallyford and Macmerry
687,Jimmy HADDOW,0,TUSC,63.0,Tranent Wallyford and Macmerry
688,Gordon MACKETT,1,Con,986.0,Tranent Wallyford and Macmerry
689,Colin Peter MCGINN,1,Lab,958.0,Tranent Wallyford and Macmerry
690,Kenny MCLEOD,1,SNP,1540.0,Tranent Wallyford and Macmerry
691,Linda WATSON,0,SNP,464.0,Tranent Wallyford and Macmerry
692,Paul AITKEN,1,Con,1297.0,Barrhead-Liboside and Uplawmoor
693,David ALLISON,0,Grn,220.0,Barrhead-Liboside and Uplawmoor
694,Angela CONVERY,1,SNP,1199.0,Barrhead-Liboside and Uplawmoor
695,Betty Wood CUNNINGHAM,1,Lab,1020.0,Barrhead-Liboside and Uplawmoor
696,Danny DEVLIN,1,Ind,1840.0,Barrhead-Liboside and Uplawmoor
697,John J FERGUSON,0,UKIP,34.0,Barrhead-Liboside and Uplawmoor
698,Kenny HAY,0,Lab,404.0,Barrhead-Liboside and Uplawmoor
699,Tommy REILLY,0,SNP,1059.0,Barrhead-Liboside and Uplawmoor
700,Andrea GEE,0,Con,1580.0,Clarkston-Netherlee and Williamwood
701,Sarah Louise HEMY,0,UKIP,20.0,Clarkston-Netherlee and Williamwood
702,Annette IRELAND,1,SNP,1508.0,Clarkston-Netherlee and Williamwood
703,Alan LAFFERTY,1,Lab,986.0,Clarkston-Netherlee and Williamwood
704,David MACDONALD,1,Ind,1352.0,Clarkston-Netherlee and Williamwood
705,Alex MACKIE,0,SLD,195.0,Clarkston-Netherlee and Williamwood
706,Stewart MILLER,1,Con,1715.0,Clarkston-Netherlee and Williamwood
707,James MILLS,0,SNP,809.0,Clarkston-Netherlee and Williamwood
708,Mary MONTAGUE,0,Lab,692.0,Clarkston-Netherlee and Williamwood
709,Ralph ROBERTSON,0,Ind,995.0,Clarkston-Netherlee and Williamwood
710,Laura STEVENS,0,Grn,351.0,Clarkston-Netherlee and Williamwood
711,Savio Andrew D'SOUZA,0,Ind,456.0,Giffnock and Thornliebank
712,Paul DRURY,0,Ind,859.0,Giffnock and Thornliebank
713,Alan FINDLAY,0,SLP,32.0,Giffnock and Thornliebank
714,Jim FLETCHER,1,Lab,1431.0,Giffnock and Thornliebank
715,Gordon MCCASKILL,0,Ind,48.0,Giffnock and Thornliebank
716,Colm MERRICK,1,SNP,1853.0,Giffnock and Thornliebank
717,Christopher PARK,0,SLD,266.0,Giffnock and Thornliebank
718,Paul SMITH,0,Con,899.0,Giffnock and Thornliebank
719,Gordon WALLACE,1,Con,1751.0,Giffnock and Thornliebank
720,Kirsteen ALLAN,0,Ind,269.0,Newton Mearns North and Neilston
721,Tony BUCHANAN,1,SNP,1551.0,Newton Mearns North and Neilston
722,Charlie GILBERT,1,Con,1729.0,Newton Mearns North and Neilston
723,David JESNER,0,Ind,178.0,Newton Mearns North and Neilston
724,Robert MALYN,0,SDPS,13.0,Newton Mearns North and Neilston
725,Andrew MORRISON,0,Con,616.0,Newton Mearns North and Neilston
726,Paul O'KANE,1,Lab,1531.0,Newton Mearns North and Neilston
727,Roy PROVAN,0,SLD,138.0,Newton Mearns North and Neilston
728,Stuart SUTHERLAND,0,UKIP,30.0,Newton Mearns North and Neilston
729,Caroline BAMFORTH,1,SNP,1907.0,Newton Mearns South and Eaglesham
730,Bev BROWN,0,Ind,511.0,Newton Mearns South and Eaglesham
731,Barbara GRANT,1,Con,1798.0,Newton Mearns South and Eaglesham
732,Ian MCALPINE,0,Lab,1009.0,Newton Mearns South and Eaglesham
733,Jim MCLEAN,1,Con,1437.0,Newton Mearns South and Eaglesham
734,Gerry MCVEIGH,0,UKIP,37.0,Newton Mearns South and Eaglesham
735,Alan RENNIE,0,SLD,308.0,Newton Mearns South and Eaglesham
736,Jim SWIFT,1,Con,2766.0,Newton Mearns South and Eaglesham
737,Daniel FRASER,0,SLP,99.0,Almond
738,Graham HUTCHISON,1,Con,2395.0,Almond
739,Otto INGLIS,0,UKIP,68.0,Almond
740,Kevin LANG,1,SLD,6079.0,Almond
741,John LONGSTAFF,0,Ind,56.0,Almond
742,Iain MCKINNON-WADDELL,0,Grn,375.0,Almond
743,Pamela MITCHELL,0,SNP,1240.0,Almond
744,Bruce WHITEHEAD,0,Lab,786.0,Almond
745,Norrie WORK,1,SNP,1971.0,Almond
746,Louise YOUNG,1,SLD,1138.0,Almond
747,Karen DORAN,1,Lab,1177.0,City Centre
748,Claire MILLER,1,Grn,1823.0,City Centre
749,Jo MOWAT,1,Con,2904.0,City Centre
750,Alasdair RANKIN,1,SNP,2228.0,City Centre
751,Peter SIDOR,0,SLP,43.0,City Centre
752,David STEVENS,0,SLD,711.0,City Centre
753,Scott ARTHUR,1,Lab,2343.0,Colinton-Fairmilehead
754,Phil DOGGART,1,Con,1879.0,Colinton-Fairmilehead
755,Richard John LEWIS,0,SNP,2359.0,Colinton-Fairmilehead
756,Sara MARSDEN,0,Grn,487.0,Colinton-Fairmilehead
757,Jason RUST,1,Con,3783.0,Colinton-Fairmilehead
758,David Richard WALKER,0,SLD,528.0,Colinton-Fairmilehead
759,Scott DOUGLAS,1,Con,3819.0,Corstorphine-Murrayfield
760,Gillian GLOYER,1,SLD,3502.0,Corstorphine-Murrayfield
761,Kate NEVENS,0,Grn,598.0,Corstorphine-Murrayfield
762,James NISBET,0,UKIP,66.0,Corstorphine-Murrayfield
763,Frank ROSS,1,SNP,2474.0,Corstorphine-Murrayfield
764,John Ferguson SCOTT,0,Ind,92.0,Corstorphine-Murrayfield
765,June WHITELAW,0,Lab,878.0,Corstorphine-Murrayfield
766,Ian CAMPBELL,1,SNP,2458.0,Craigentinny-Duddingston
767,Joan GRIFFITHS,1,Lab,1845.0,Craigentinny-Duddingston
768,Patrick HADFIELD,0,SLD,448.0,Craigentinny-Duddingston
769,Alex LUNN,0,SNP,813.0,Craigentinny-Duddingston
770,Lyndsay MARTIN,0,Lab,627.0,Craigentinny-Duddingston
771,John MCLELLAN,1,Con,2521.0,Craigentinny-Duddingston
772,Alex STANIFORTH,1,Grn,1244.0,Craigentinny-Duddingston
773,Mridul WADHWA,0,SNP,674.0,Craigentinny-Duddingston
774,Robert Christopher ALDRIDGE,1,SLD,3176.0,Drum Brae-Gyle
775,Claire BRIDGMAN,1,SNP,2541.0,Drum Brae-Gyle
776,Mark BROWN,1,Con,2084.0,Drum Brae-Gyle
777,Karen Ann KEIL,0,Lab,1262.0,Drum Brae-Gyle
778,Phyl MEYER,0,Grn,411.0,Drum Brae-Gyle
779,Eleanor BIRD,1,SNP,1866.0,Forth
780,Jim CAMPBELL,1,Con,2951.0,Forth
781,Cammy DAY,1,Lab,1579.0,Forth
782,George GORDON,1,SNP,1390.0,Forth
783,Gillian MACKAY,0,Grn,1039.0,Forth
784,Heather PUGH,0,Lab,577.0,Forth
785,Nicola ROSS,0,Ind,185.0,Forth
786,Tim WIGHT,0,SLD,812.0,Forth
787,Gavin CORBETT,1,Grn,2525.0,Fountainbridge-Craiglockhart
788,Andrew JOHNSTON,1,Con,2908.0,Fountainbridge-Craiglockhart
789,David KEY,1,SNP,1924.0,Fountainbridge-Craiglockhart
790,Jenni LANG,0,SLD,461.0,Fountainbridge-Craiglockhart
791,Rojan SUBRAMANI,0,Ind,62.0,Fountainbridge-Craiglockhart
792,Anne WIMBERLEY,0,Lab,1266.0,Fountainbridge-Craiglockhart
793,Nigel BAGSHAW,0,Grn,1669.0,Inverleith
794,Gavin BARRIE,1,SNP,2572.0,Inverleith
795,James DALGLEISH,0,Lab,1678.0,Inverleith
796,Tom LAIRD,0,SLP,32.0,Inverleith
797,Max MITCHELL,1,Con,2685.0,Inverleith
798,Hal OSLER,1,SLD,2251.0,Inverleith
799,Iain WHYTE,1,Con,2323.0,Inverleith
800,Tina WOOLNOUGH,0,Ind,357.0,Inverleith
801,Marion DONALDSON,1,Lab,1602.0,Leith Walk
802,Nick GARDNER,0,Lab,793.0,Leith Walk
803,David Don JACOBSEN,0,SL,66.0,Leith Walk
804,Cristina MARGA,0,Con,1536.0,Leith Walk
805,Amy MCNEESE-MECHAN,1,SNP,1770.0,Leith Walk
806,Alan Gordon MELVILLE,0,Ind,55.0,Leith Walk
807,Susan RAE,1,Grn,2097.0,Leith Walk
808,Lewis RITCHIE,1,SNP,1900.0,Leith Walk
809,Harald TOBERMANN,0,Ind,432.0,Leith Walk
810,Vita ZAPOROZCENKO,0,SLD,398.0,Leith Walk
811,Chas BOOTH,1,Grn,1695.0,Leith
812,Sanne DIJKSTRA-DOWNIE,0,SLD,403.0,Leith
813,Adam MCVEY,1,SNP,2753.0,Leith
814,Gordon John MUNRO,1,Lab,1549.0,Leith
815,Paul PENMAN,0,Con,1213.0,Leith
816,Lezley Marion CAMERON,1,Lab,2911.0,Liberton-Gilmerton
817,Derek HOWIE,1,SNP,2052.0,Liberton-Gilmerton
818,John Christopher KNOX,0,SLD,648.0,Liberton-Gilmerton
819,Lesley MACINNES,1,SNP,1913.0,Liberton-Gilmerton
820,John NICHOL,0,Grn,606.0,Liberton-Gilmerton
821,Tim POGSON,0,Lab,875.0,Liberton-Gilmerton
822,Stephanie SMITH,1,Con,2726.0,Liberton-Gilmerton
823,Nick COOK,1,Con,3010.0,Morningside
824,Sandy HOWAT,0,SNP,2427.0,Morningside
825,Chris LAND,0,Con,1001.0,Morningside
826,Melanie MAIN,1,Grn,2629.0,Morningside
827,Neil ROSS,1,SLD,2039.0,Morningside
828,Mandy WATT,1,Lab,2473.0,Morningside
829,Graeme BRUCE,1,Con,3083.0,Pentland Hills
830,Emma FARTHING,0,SLD,560.0,Pentland Hills
831,Neil GARDINER,1,SNP,2382.0,Pentland Hills
832,Ricky HENDERSON,1,Lab,2334.0,Pentland Hills
833,Ernesta NOREIKIENE,0,SNP,880.0,Pentland Hills
834,Susan WEBBER,1,Con,1587.0,Pentland Hills
835,Evelyn WESTON,0,Grn,489.0,Pentland Hills
836,Mike BRIDGMAN,0,SNP,1627.0,Portobello-Craigmillar
837,KATE CAMPBELL,1,SNP,1769.0,Portobello-Craigmillar
838,MARY CAMPBELL,1,Grn,1575.0,Portobello-Craigmillar
839,Maureen CHILD,1,Lab,2378.0,Portobello-Craigmillar
840,Callum LAIDLAW,1,Con,2032.0,Portobello-Craigmillar
841,Callum LESLIE,0,SLD,258.0,Portobello-Craigmillar
842,David WALKER,0,Lab,792.0,Portobello-Craigmillar
843,Denis DIXON,1,SNP,1190.0,Sighthill-Gorgie
844,Catherine FULLERTON,1,SNP,1574.0,Sighthill-Gorgie
845,Ashley GRACZYK,1,Con,1621.0,Sighthill-Gorgie
846,Simon HAYTER,0,SNP,648.0,Sighthill-Gorgie
847,Dan HEAP,0,Grn,1264.0,Sighthill-Gorgie
848,Devin Scott SCOBIE,0,SLD,332.0,Sighthill-Gorgie
849,Carmel SMITH,0,Lab,844.0,Sighthill-Gorgie
850,Calum STRANGE,0,SLP,27.0,Sighthill-Gorgie
851,Donald WILSON,1,Lab,993.0,Sighthill-Gorgie
852,Steve BURGESS,1,Grn,2381.0,Southside-Newington
853,Alison DICKIE,1,SNP,2403.0,Southside-Newington
854,Dan FARTHING,0,SLD,1410.0,Southside-Newington
855,Ian PERRY,1,Lab,2354.0,Southside-Newington
856,Cameron ROSE,1,Con,3151.0,Southside-Newington
857,John MACKAY,1,Ind,220.0,An Taobh Siar agus Nis
858,Alistair MACLENNAN,0,Ind,193.0,An Taobh Siar agus Nis
859,JOHN NORMAN MACLEOD,1,Ind,339.0,An Taobh Siar agus Nis
860,KENNETH MACLEOD,1,SNP,277.0,An Taobh Siar agus Nis
