,Candidate,Elected,Party,Votes,Ward
87,Alexander MCLELLAN,1,SNP,825.0,Tillydrone-Seaton-Old Aberdeen
88,Ramsay MILNE,0,Lab,245.0,Tillydrone-Seaton-Old Aberdeen
89,Jim NOBLE,1,SNP,545.0,Tillydrone-Seaton-Old Aberdeen
90,Jenny WILSON,0,SLD,133.0,Tillydrone-Seaton-Old Aberdeen
91,Yvonne ALLAN,1,Lab,843.0,Torry-Ferryhill
92,Christian Guy ALLARD,1,SNP,910.0,Torry-Ferryhill
93,Alan DONNELLY,1,Con,1337.0,Torry-Ferryhill
94,David FRYER,0,Ind,580.0,Torry-Ferryhill
95,Catriona MACKENZIE,1,SNP,847.0,Torry-Ferryhill
96,Gregor MCABERY,0,SLD,286.0,Torry-Ferryhill
97,William Allan MCINTOSH,0,UKIP,49.0,Torry-Ferryhill
98,Renee SLATER,0,Grn,269.0,Torry-Ferryhill
99,Piotr TEODOROWSKI,0,Lab,467.0,Torry-Ferryhill
100,Billy WATSON,0,NF,10.0,Torry-Ferryhill
101,Peter ARGYLE,1,SLD,900.0,Aboyne Upper Deeside and Donside
102,Geva BLACKETT,1,SNP,1364.0,Aboyne Upper Deeside and Donside
103,Paul GIBB,1,Con,2093.0,Aboyne Upper Deeside and Donside
104,Claire MILLAR,0,Lab,176.0,Aboyne Upper Deeside and Donside
105,Anne REID,0,Ind,226.0,Aboyne Upper Deeside and Donside
106,Rosemary Elizabeth BRUCE,1,SLD,968.0,Banchory and Mid Deeside
107,Eileen DURNO,1,SNP,1046.0,Banchory and Mid Deeside
108,Iain GILLIES,0,Lab,241.0,Banchory and Mid Deeside
109,Ann ROSS,1,Con,2525.0,Banchory and Mid Deeside
110,John COX,1,Ind,1092.0,Banff and District
111,Glen David REYNOLDS,1,SNP,1049.0,Banff and District
112,Mike ROY,1,Con,1509.0,Banff and District
113,Alison SIMPSON,0,SLD,521.0,Banff and District
114,Marion Anne BUCHAN,1,Con,1808.0,Central Buchan
115,Jim INGRAM,1,SNP,1188.0,Central Buchan
116,Lenny PIRIE,0,SNP,486.0,Central Buchan
117,Anne Margaret SIMPSON,1,SLD,505.0,Central Buchan
118,Norman SMITH,1,Ind,863.0,Central Buchan
119,Martin FORD,1,Grn,850.0,East Garioch
120,Fergus HOOD,1,SLD,842.0,East Garioch
121,Dominic LONCHAY,1,Con,1429.0,East Garioch
122,Conor MCKAY,0,SNP,571.0,East Garioch
123,Glen REID,1,SNP,688.0,East Garioch
